"doc_id","countryname","partyname","partyabbrev","party","parfam","rile","date","year","token_count","pop_anti_elitism","pop_people_centrism","pop_manichean","populism_overall","pop_ideology_overall","pop_ideology_left","pop_ideology_right","pop_ideology_centrist","lib_political","lib_social","lib_economic","lib_financial_market","liberalism_overall","pop_ideology_direction","pop_anti_elitism_sonnet","pop_people_centrism_sonnet","pop_manichean_sonnet","populism_overall_sonnet","pop_ideology_overall_sonnet","pop_ideology_left_sonnet","pop_ideology_right_sonnet","pop_ideology_centrist_sonnet","lib_political_sonnet","lib_social_sonnet","lib_economic_sonnet","lib_financial_market_sonnet","liberalism_overall_sonnet","pop_anti_elitism_gpt41mini","pop_people_centrism_gpt41mini","pop_manichean_gpt41mini","populism_overall_gpt41mini","pop_ideology_overall_gpt41mini","pop_ideology_left_gpt41mini","pop_ideology_right_gpt41mini","pop_ideology_centrist_gpt41mini","lib_political_gpt41mini","lib_social_gpt41mini","lib_economic_gpt41mini","lib_financial_market_gpt41mini","liberalism_overall_gpt41mini","pop_anti_elitism_gemini","pop_people_centrism_gemini","pop_manichean_gemini","populism_overall_gemini","pop_ideology_overall_gemini","pop_ideology_left_gemini","pop_ideology_right_gemini","pop_ideology_centrist_gemini","lib_political_gemini","lib_social_gemini","lib_economic_gemini","lib_financial_market_gemini","liberalism_overall_gemini"
"75220_201706","Albania","Albanian Socialist Party","PSSh",75220,20,-19.175,2017-06-01,2017,8700,4.333,5.333,3.333,3.99,4.324,6,2,4.333,7.333,7.5,7.5,6.5,7.333,-0.324333090083516,2.5,4.5,2,3,3.5,5.5,1,2.5,6.5,7,6.5,6,6.5,4.5,6.5,4,5,5.5,6.5,3,6.5,7.5,7.5,8,6.5,7.5,6,5,4,3.971,3.971,6,,4,8,8,8,7,8
"75220_202104","Albania","Albanian Socialist Party","PSSh",75220,20,-12.353,2021-04-01,2021,4101,5.333,5.333,5.333,5.333,5.333,6,,4.5,6.667,7,7.333,6.333,7,,6,5,5,5,5,6,,4,6,6,6,5,6,3,5,4,4,5,6,,5,7,7,8,7,7,7,6,7,7,6,6,,,7,8,8,7,8
"75230_201706","Albania","Freedom Party of Albania","PL",75230,20,-13.678,2017-06-01,2017,6602.25,3.333,5,2.333,3.333,5,6,1.5,4.5,7.667,7.333,8,6.333,7.333,-0.375,3,5,2,3,5,6,1,2,7,7,,6,7,3,5,2,3,5,6,2,7,8,7,8,6,7,4,5,3,4,5,6,,,8,8,8,7,8
"75230_202104","Albania","Freedom Party of Albania","PL",75230,20,-8.276,2021-04-01,2021,1879.5,8,7,7,7,5.667,6,3,5.5,7.667,6.333,7.667,6,7,-0.206896551724138,8,7,7,7,5,5,3,5,7,5,7,6,6,8,7,7,7,6,7,,6,8,7,8,6,7,8,7,7,7,6,6,,,8,7,8,,8
"75624_202104","Albania","Democratic Party of Albania","PD",75624,60,-6.757,2021-04-01,2021,1014.75,2,3,1,2,3.5,4.5,2.5,5,8.333,8,8.333,7,8,-0.166666666666667,2,3,1,2,2,3,2,3,8,8,8,,8,2,3,,2,5,6,3,7,9,8,8,7,8,,,,,,,,,8,8,9,,8
"150021_201510","Argentina","United for a New Alternative","UNA",150021,20,8.333,2015-10-01,2015,4263.75,6,6,5.667,5.667,5.333,5,2.5,6,7,7.5,6.333,5.5,6.667,-0.185185185185185,6,6,5,5,4,5,2,4,6,,6,5,6,5,6,6,6,5,5,3,7,7,8,6,,7,7,6,6,6,7,,,7,8,7,7,6,7
"150022_200304","Argentina","Front for Loyalty and Union of the Democratic Centre","FPL + UCeDé",150022,20,-7.958,2003-04-01,2003,3998.25,5,5.667,4,4.667,5,4.667,4,6.333,7.667,6.667,7,7.667,7.667,-0.0444666666666667,4,4,3,3,4,4,3,5,7,6,6,7,7,3,6,4,4,5,6,3,7,8,7,7,8,8,8,7,5,7,6,4,6,7,8,7,8,8,8
"150023_200710","Argentina","Civic Coalition","CC",150023,20,-11.006,2007-10-01,2007,20335.5,6.167,5.5,4.5,5.004,5.167,6.171,2,4.512,7.837,8.504,5.25,4.667,7.004,-0.328865410391863,5,5,3,3.512,4,5.512,1,3.024,7.512,8.512,,5,6.512,6.5,5.5,5.5,5.5,5.5,6.5,3,6,7.5,8,6.5,6,7,7,6,5,6,6,6.5,,,8.5,9,4,3,7.5
"150024_200906","Argentina","Social and Civic Agreement","ACyS",150024,20,-20,2009-06-01,2009,1393.5,5.333,4.667,5,5,4.667,5.5,2,5,8,8.333,7,5,7.667,-0.28,6,5,5,5,4,5,2,4,8,8,7,5,7,3,4,4,4,4,6,2,5,7,8,6,,7,7,5,6,6,6,,,6,9,9,8,,9
"150025_200304","Argentina","Front for Victory","FpV",150025,20,-22.667,2003-04-01,2003,1172.25,6,5.667,5.333,5.667,6.333,7,2,4,6.667,5,4.5,3.667,5,-0.384615384615385,7,6,5,6,6,7,2,3,6,5,4,4,5,3,4,5,4,5,6,2,5,6,5,5,4,5,8,7,6,7,8,8,,,8,,,3,5
"150025_200710","Argentina","Front for Victory","FpV",150025,20,-20.755,2007-10-01,2007,630,4.333,5.333,3.5,4,4.667,6,4,4.5,7.667,6,6.5,6,6.5,-0.137931034482759,3,4,2,3,4,5,2,3,7,5,,,,6,7,5,6,6,7,6,6,8,7,7,7,7,4,5,,3,4,6,,,8,,6,5,6
"150025_200906","Argentina","Front for Victory","FpV",150025,20,-40,2009-06-01,2009,540,2,4,1,2,3,5,1,4,7.667,6.667,6.667,6,6.667,-0.4,2,4,1,2,3,5,1,4,7,6,6,6,6,,,,,,,,,8,7,7,6,7,,,,,,,,,8,7,7,6,7
"150025_201110","Argentina","Front for Victory","FpV",150025,20,-3.425,2011-10-01,2011,3037.5,7,7.667,6,7,7.667,8,2,5,7.333,7.667,4.333,3.333,5.667,-0.4,7,8,6,7,8,8,1,2,6,7,3,2,5,6,7,5,6,6,7,3,8,8,8,7,6,7,8,8,7,8,9,9,,,8,8,3,2,5
"150025_201310","Argentina","Front for Victory","FpV",150025,20,0,2013-10-01,2013,1068,3,6,3,4,6,7,2,4,7.667,9,4.667,3.333,6.333,-0.384615384615385,,5,3,4,6,7,1,2,7,9,4,4,6,3,7,,4,6,7,3,6,8,9,7,4,7,,,,,,,,,8,9,3,2,6
"150025_201510","Argentina","Front for Victory","FpV",150025,20,-31.233,2015-10-01,2015,7130.25,7.333,8,7,7.333,8,8.333,2,4.5,7.5,8.667,3,2.333,6,-0.426953414683476,7,8,7,7,8,8,1,2,,8,2,2,,7,8,6,7,7,8,3,7,8,9,5,4,7,8,8,8,8,9,9,,,7,9,2,1,5
"150025_201910","Argentina","Everyone's Front","",150025,20,-32.366,2019-10-01,2019,9282,7.333,6.333,6,6.333,7.333,7.667,2,4.5,7.333,8,4.333,3.333,5.667,-0.400014117314887,7,6,6,6,7,7,2,2,7,8,4,3,5,8,7,7,7,7,8,,7,7,8,6,5,7,7,6,5,6,8,8,,,8,8,3,2,5
"150026_201110","Argentina","Broad Progressive Front","FAP",150026,20,-17.351,2011-10-01,2011,11013.75,2.667,4.667,1.667,3,4.667,6.333,1.5,4,8.333,8.333,5,4,6.333,-0.408434040395504,2,4,1,2,4,6,1,2,8,8,,4,6,3,6,2,4,5,7,2,6,8,8,6,5,7,3,4,2,3,5,6,,,9,9,4,3,6
"150026_201310","Argentina","Broad Progressive Front","FAP",150026,20,-6.838,2013-10-01,2013,7572.75,5,6.333,4,5,6,7,2,4,7.667,7.667,4.333,3.333,5.667,-0.384615384615385,6,7,4,5,6,7,1,2,7,7,4,3,5,3,7,4,5,6,7,3,6,8,8,6,5,7,6,5,4,5,6,7,,,8,8,3,2,5
"150027_200710","Argentina","Justice, Union and Liberty Front","FREJULI",150027,20,-26.923,2007-10-01,2007,317.25,2.5,5,1,3.667,4,5,3,5,7.667,6.667,6.667,,6.667,-0.153846153846154,2,5,1,2,3,4,1,3,7,6,6,,6,,6,,6,6,7,5,7,8,7,7,,7,3,4,,3,3,4,,,8,7,7,,7
"150027_201110","Argentina","Federal Commitment","",150027,20,1.245,2011-10-01,2011,40695.75,4.148,5.068,3.315,3.933,4.708,5.048,3.912,3.934,7.49,7.357,6.434,6.083,7.213,-0.0881029936404529,2.943,4.736,2.445,2.931,3.792,4.143,1.737,3.202,6.664,6.463,5.484,5.248,6.43,4,4.667,2,3.667,4.333,4.667,3.5,4.667,7.805,7.609,7.218,6.5,7.609,5.5,5.8,5.5,5.2,6,6.333,6.5,,8,8,6.6,6.5,7.6
"150028_199910","Argentina","Justicialist Coalition for Change","",150028,40,-6.644,1999-10-01,1999,11260.5,2,3.667,1.5,2,3.667,4.667,2.667,4,7.667,7.667,6.667,6.667,7.333,-0.176460208223046,2,4,2,2,3,5,2,3,7,7,6,6,7,2,3,,2,4,4,3,5,8,8,7,7,7,2,4,1,2,4,5,3,,8,8,7,7,8
"150029_198905","Argentina","Justicialist Party of Popular Unity","FREJUPO",150029,40,-3.82,1989-05-01,1989,24463.5,6.675,7.344,6.012,6.57,6.341,7.008,2.604,4.667,6.77,6.208,5.891,3.106,5.327,-0.308424959731074,7,7.687,6,6.687,6,7,2.313,3,6,5.339,4.339,2.652,4.339,5.333,6,5,5.333,5.333,6.333,3.5,6,7,6.667,6.333,4.667,6.333,7.691,8.345,7.036,7.691,7.691,7.691,2,5,7.309,6.618,7,2,5.309
"150031_200710","Argentina","An Advanced Union","UNA",150031,30,-13.213,2007-10-01,2007,8637,4.667,5.667,4.333,4.667,5,6,1.5,5,8.333,7.667,6.667,6,7.333,-0.36,5,5,4,4,5,6,1,3,8,7,6,6,7,2,7,3,4,5,6,2,7,8,8,7,6,7,7,5,6,6,5,6,,,9,8,7,6,8
"150032_199910","Argentina","Aliance for Work, Justice, and Education","ALIANZA",150032,30,-13.04,1999-10-01,1999,25124.25,4.106,4.614,3.495,3.78,4.169,5.169,2,4.28,7.692,7.807,6.447,5.941,7.237,-0.276792732989781,3.984,4.341,2.984,3.341,3.341,4.341,1,3.341,7.396,7.396,6,5.488,6.698,3,5,4,4,4.5,5.5,3,5.5,7.346,7.692,6.673,6,7.346,5.333,4.5,3.5,4,4.667,5.667,,4,8.333,8.333,6.667,6.333,7.667
"150033_201910","Argentina","Federal Consensus","",150033,30,-20.859,2019-10-01,2019,3022.5,4,4.667,3.333,4,4.333,5.333,2.667,5.667,8,7.333,7,4.667,6.667,-0.195068412965537,4,5,3,4,4,5,2,6,8,7,,4,6,4,6,5,5,5,6,3,7,8,8,7,6,7,4,3,2,3,4,5,3,4,8,7,7,4,7
"150040_198905","Argentina","Center Alliance","",150040,40,13.287,1989-05-01,1989,2395.5,3.333,2.5,2.5,2.333,2.667,2,1.5,4,9.333,7.667,9.667,8.333,8.667,-0.0666666666666667,4,3,3,3,2,1,1,3,9,7,10,9,9,3,2,2,2,4,3,2,6,9,8,9,7,8,3,,,2,2,,,3,10,8,10,9,9
"150061_200906","Argentina","Alliance Union-PRO","",150061,60,-18.023,2009-06-01,2009,2988.75,2,4,1,2,2,4,1,3,7.667,7.667,6.667,6,7,-0.375,2,4,1,2,2,4,1,3,7,7,6,6,7,,,,,,,,,8,8,7,6,7,,,,,,,,,8,8,7,6,7
"150062_201510","Argentina","We change","",150062,60,-21.354,2015-10-01,2015,3102,2.667,4.333,1,2.333,3,4.5,2,4.667,9,9,7.667,7,8,-0.223873914211516,2,3,1,2,2,3,1,4,9,9,7,7,8,2,7,1,3,5,6,3,7,9,9,8,7,8,4,3,,2,2,,,3,9,9,8,7,8
"150062_201910","Argentina","Together for Change","",150062,60,-0.862,2019-10-01,2019,3633,4.333,3.333,2.667,3.333,3,4,2.5,4.333,9.333,8.667,8.333,7.333,8.333,-0.13846579894766,4,3,2,3,2,3,1,4,9,8,8,7,8,7,6,5,6,6,5,4,7,9,9,8,7,8,2,1,1,1,1,,,2,10,9,9,8,9
"150201_199505","Argentina","Justicialist Party","PJ",150201,40,1.997,1995-05-01,1995,29377.5,5.25,5.433,4.333,3.389,4,5.053,1.727,4.5,7.209,6.995,7.559,7.013,7.442,-0.294858156028369,,4.964,2,2,3,4.66,1.455,3,6.635,6.33,6.67,6.365,7,2.5,5,4,3.5,4,4,2,5.5,7.327,6.654,7.673,6.673,7.327,8,6.333,7,4.667,5,6.5,,5,7.667,8,8.333,8,8
"150202_199505","Argentina","Front for a Country in Solidarity","FREPASO",150202,20,-15.217,1995-05-01,1995,627,3,5.333,1,3.667,4.333,5.667,1,4.5,7.667,7,6,5,6.667,-0.417927823050058,2,4,1,2,3,5,1,3,7,6,,5,6,,6,,5,6,7,,6,8,8,6,,7,4,6,,4,4,5,,,8,7,,,7
"150205_200304","Argentina","Front of the popular movement","MP",150205,20,4.167,2003-04-01,2003,576.75,7,8,6,7,6.667,7.333,3,4.5,6.333,7.333,4.667,5,6,-0.292118924020765,7,8,6,7,7,8,2,3,6,7,4,4,5,7,8,6,7,6,7,4,6,7,8,6,6,7,7,8,6,7,7,7,,,6,7,4,5,6
"150210_200304","Argentina","Alternative for a Republic of Equals","ARI",150210,20,-26.135,2003-04-01,2003,29108.25,6.601,5.923,5.492,6.043,5.927,6.673,2.812,4.198,7.347,8.093,4.097,3.131,5.975,-0.282174961631221,6.438,5.75,4.438,5.438,6.062,6.688,1.625,2.375,6.688,7.625,4,2.455,5.625,7,6,7,7,5.354,6.312,4,6.021,7.354,8,5.292,4.938,6.646,6.365,6.019,5.038,5.692,6.365,7.019,,,8,8.654,3,2,5.654
"150220_200906","Argentina","New Encounter","",150220,20,-16.346,2009-06-01,2009,1839,6.667,7.333,5.333,6.333,6.667,7.667,2,4.5,7.667,7.667,5,3.333,5.667,-0.400014117314887,6,6,4,5,6,7,1,2,7,7,,2,5,7,8,6,7,6,8,3,7,8,8,7,6,7,7,8,6,7,8,8,,,8,8,3,2,5
"150221_200906","Argentina","Neuquén People's Movement","MPN",150221,20,-12.027,2009-06-01,2009,6143.25,3.667,5.667,3,3.667,4,4,2.5,5.667,7.333,6.667,5.667,3,6.333,-0.123284293580998,4,6,2,4,3,4,2,5,7,6,5,4,6,3,6,4,4,5,4,3,7,7,7,6,,7,4,5,,3,4,,,5,8,7,6,2,6
"150222_200906","Argentina","It is possible","",150222,20,-18.957,2009-06-01,2009,2761.5,5,5,4.333,5,5.333,4.5,3.5,5.667,7,6,7,7,7,-0.0731689470988512,5,5,4,5,4,4,4,5,7,6,7,7,7,2,3,3,3,4,5,3,4,6,5,6,6,6,8,7,6,7,8,,,8,8,7,8,8,8
"150230_201110","Argentina","Popular Front","",150230,20,-50,2011-10-01,2011,2120.25,4,7,3,4.333,5.667,6.667,3.667,5.5,8.333,7.333,4.667,3.5,6.333,-0.189465706707086,3,7,2,3,5,6,3,4,8,7,5,4,6,6,8,5,6,6,7,4,7,8,7,5,,7,3,6,2,4,6,7,4,,9,8,4,3,6
"150301_198905","Argentina","Civic Radical Union","UCR",150301,30,-19.416,1989-05-01,1989,19455,4.483,5.974,2.974,4.483,4.65,5.483,2,4.737,8.167,7.667,6.667,5.671,7.338,-0.285024549918167,2.949,4.423,1.949,2.949,2.949,3.949,1,2.474,8,7,6,5,7,6,8,,6,6,7,3,7,8,8,7,6.514,7.514,4.5,5.5,4,4.5,5,5.5,,,8.5,8,7,5.5,7.5
